,netkeiba_id,japanese_name,english_name,foaled_date,trained_at,wins,starts,average_race_weight
79,2005102837,エスポワールシチー,Espoir City,22 APR 2005,Ritto,17,40,493.1025641025641
80,1990100908,ノースフライト,North Flight,12 APR 1990,Ritto,8,11,477.09090909090907
81,1999110099,シンボリクリスエス,Symboli Kris S,21 JAN 1999,Miho,8,15,531.3333333333334
82,1999100226,タニノギムレット,Tanino Gimlet,04 MAY 1999,Ritto,5,8,481.25
83,1987100260,ダイイチルビー,Daiichi Ruby,15 APR 1987,Ritto,6,18,464.77777777777777
84,1983103914,メジロラモーヌ,Mejiro Ramonu,09 APR 1983,Miho,9,12,
85,2004103323,アストンマーチャン,Aston Machan,05 MAR 2004,Ritto,5,11,470.72727272727275
86,2012104668,サトノクラウン,Satono Crown,10 MAR 2012,Miho,7,20,482.6111111111111
87,2012104759,シュヴァルグラン,Cheval Grand,14 MAR 2012,Ritto,7,33,471.3333333333333
88,2009106264,ヴィルシーナ,Verxina,05 MAR 2009,Ritto,5,21,450.1904761904762
89,2013106007,ヴィブロス,Vivlos,09 APR 2013,Ritto,4,17,422.61538461538464
90,1998103058,ダンツフレーム,Dantsu Flame,19 APR 1998,NAR,6,26,494.3076923076923
91,1988107943,ケイエスミラクル,K.S.Miracle,16 MAR 1988,Ritto,5,10,472.2
92,1998101786,ジャングルポケット,Jungle Pocket,07 MAY 1998,Ritto,5,13,470.9230769230769
93,1998101038,ビリーヴ,Believe,26 APR 1998,Ritto,10,28,466.92857142857144
94,1999104198,ノーリーズン,No Reason,04 JUN 1999,Ritto,3,12,474.1666666666667
95,2000106022,スティルインラブ,Still in Love,02 MAY 2000,Ritto,5,16,455.0
96,2010106548,コパノリッキー,Copano Rickey,24 MAR 2010,Ritto,16,33,533.6666666666666
97,2009100921,ホッコータルマエ,Hokko Tarumae,26 MAY 2009,Ritto,17,39,497.22222222222223
98,2006106794,ワンダーアキュート,Wonder Acute,14 MAR 2006,Ritto,13,48,507.6041666666667
